year,lap_length,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature,quali_position,quali_lap_time
2025,5.807,18,94.34604444444447,19.0,1008.9,0,1.2,334,77.0,14.6,20,193.16449999999998
2025,5.412,81,99.71162,30.2,1008.4,0,1.9,27,42.0,26.9,1,298.36323076923077
2025,5.412,63,100.43983673469388,30.2,1008.4,0,1.9,27,42.0,26.9,2,209.66394444444447
2025,5.412,4,100.48065306122449,30.2,1008.4,0,1.9,27,42.0,26.9,6,249.57826666666668
2025,5.412,16,99.97899999999997,30.2,1008.4,0,1.9,27,42.0,26.9,3,275.1797857142858
2025,5.412,44,100.10128571428572,30.2,1008.4,0,1.9,27,42.0,26.9,9,249.67806666666664
2025,5.412,1,100.76472000000001,30.2,1008.4,0,1.9,27,42.0,26.9,7,277.54435714285717
2025,5.412,10,100.7955,30.2,1008.4,0,1.9,27,42.0,26.9,5,240.27168749999998
2025,5.412,31,100.88860000000001,30.2,1008.4,0,1.9,27,42.0,26.9,14,187.66916666666665
2025,5.412,22,101.02909999999999,30.2,1008.4,0,1.9,27,42.0,26.9,10,271.73192857142857
2025,5.412,87,100.70087999999998,30.2,1008.4,0,1.9,27,42.0,26.9,20,152.8438
2025,5.412,12,101.14050000000002,30.2,1008.4,0,1.9,27,42.0,26.9,4,214.17217647058825
2025,5.412,23,100.57583999999999,30.2,1008.4,0,1.9,27,42.0,26.9,15,177.22
2025,5.412,27,101.28366,30.2,1008.4,0,1.9,27,42.0,26.9,16,193.61453333333333
2025,5.412,6,101.33031999999999,30.2,1008.4,0,1.9,27,42.0,26.9,12,258.68350000000004
2025,5.412,7,101.12164000000001,30.2,1008.4,0,1.9,27,42.0,26.9,11,245.62545454545455
2025,5.412,14,100.87707999999999,30.2,1008.4,0,1.9,27,42.0,26.9,13,219.37223076923075
2025,5.412,30,100.897,30.2,1008.4,0,1.9,27,42.0,26.9,17,168.1828
2025,5.412,18,101.61410000000002,30.2,1008.4,0,1.9,27,42.0,26.9,19,131.3025
2025,5.412,5,101.69099999999999,30.2,1008.4,0,1.9,27,42.0,26.9,18,142.5458
2025,5.412,55,102.72761538461539,30.2,1008.4,0,1.9,27,42.0,26.9,8,239.9481875
2025,6.174,81,97.34682051282051,36.7,1007.3,0,1.5,337,47.0,31.6,2,246.1003125
2025,6.174,1,97.95586842105266,36.7,1007.3,0,1.5,337,47.0,31.6,1,235.6973529411765
2025,6.174,16,98.05976315789474,36.7,1007.3,0,1.5,337,47.0,31.6,4,237.34905882352936
2025,6.174,4,97.84241025641026,36.7,1007.3,0,1.5,337,47.0,31.6,10,316.239
2025,6.174,63,98.23052631578946,36.7,1007.3,0,1.5,337,47.0,31.6,3,274.32428571428574
2025,6.174,12,98.18065789473687,36.7,1007.3,0,1.5,337,47.0,31.6,5,255.89913333333334
2025,6.174,44,98.64926315789471,36.7,1007.3,0,1.5,337,47.0,31.6,7,229.95035294117648
2025,6.174,55,99.11689473684211,36.7,1007.3,0,1.5,337,47.0,31.6,6,202.3309
2025,6.174,23,99.15889189189188,36.7,1007.3,0,1.5,337,47.0,31.6,11,161.70161538461537
2025,6.174,6,98.92276315789475,36.7,1007.3,0,1.5,337,47.0,31.6,14,188.0026363636364
2025,6.174,30,99.07237837837836,36.7,1007.3,0,1.5,337,47.0,31.6,12,204.1529
2025,6.174,14,98.98332432432433,36.7,1007.3,0,1.5,337,47.0,31.6,13,182.17953846153844
2025,6.174,87,99.361,36.7,1007.3,0,1.5,337,47.0,31.6,15,168.60185714285714
2025,6.174,31,99.19289189189189,36.7,1007.3,0,1.5,337,47.0,31.6,19,132.422875
2025,6.174,5,99.3815945945946,36.7,1007.3,0,1.5,337,47.0,31.6,20,144.7162857142857
2025,6.174,27,99.40489189189188,36.7,1007.3,0,1.5,337,47.0,31.6,18,141.49214285714288
2025,6.174,7,99.5846052631579,36.7,1007.3,0,1.5,337,47.0,31.6,17,123.58825
2025,6.174,18,99.73170270270265,36.7,1007.3,0,1.5,337,47.0,31.6,16,127.07524999999998
2024,5.421,1,96.56175000000003,21.9,1017.4,0,0.0,167,51.0,17.7,1,201.37375
2024,5.421,11,96.91332142857141,21.9,1017.4,0,0.0,167,51.0,17.7,5,206.60780000000003
2024,5.421,55,96.9505714285714,21.9,1017.4,0,0.0,167,51.0,17.7,4,221.1625625
2024,5.421,16,97.25249999999998,21.9,1017.4,0,0.0,167,51.0,17.7,2,202.37727777777778
2024,5.421,63,97.36253571428571,21.9,1017.4,0,0.0,167,51.0,17.7,3,200.4028125
2024,5.421,4,97.33985714285713,21.9,1017.4,0,0.0,167,51.0,17.7,7,234.35946153846152
2024,5.421,44,97.35614285714287,21.9,1017.4,0,0.0,167,51.0,17.7,9,191.95175
2024,5.421,81,97.46966071428575,21.9,1017.4,0,0.0,167,51.0,17.7,8,190.9084375
2024,5.421,14,97.82053571428571,21.9,1017.4,0,0.0,167,51.0,17.7,6,231.5047692307692
2024,5.421,18,97.9954285714286,21.9,1017.4,0,0.0,167,51.0,17.7,12,180.332
2024,5.421,24,98.30363636363636,21.9,1017.4,0,0.0,167,51.0,17.7,17,135.3064
2024,5.421,20,98.34016363636366,21.9,1017.4,0,0.0,167,51.0,17.7,15,178.2879090909091
2024,5.421,3,98.32785454545454,21.9,1017.4,0,0.0,167,51.0,17.7,14,185.558
2024,5.421,22,98.37707272727273,21.9,1017.4,0,0.0,167,51.0,17.7,11,184.81
2024,5.421,23,98.41345454545454,21.9,1017.4,0,0.0,167,51.0,17.7,13,185.5056363636364
2024,5.421,27,98.34216363636361,21.9,1017.4,0,0.0,167,51.0,17.7,10,194.82843750000004
2024,5.421,31,98.71881818181824,21.9,1017.4,0,0.0,167,51.0,17.7,19,142.911375
2024,5.421,10,98.72580000000002,21.9,1017.4,0,0.0,167,51.0,17.7,20,142.4805
2024,5.421,77,99.62610909090908,21.9,1017.4,0,0.0,167,51.0,17.7,16,138.689
2024,5.421,2,100.36325925925927,21.9,1017.4,0,0.0,167,51.0,17.7,18,146.84279999999998
2024,6.174,1,96.89322448979591,29.1,1013.1,0,1.4,28,67.0,25.2,1,207.627
2024,6.174,11,97.03457142857143,29.1,1013.1,0,1.4,28,67.0,25.2,3,210.81876470588233
2024,6.174,16,97.2496122448979,29.1,1013.1,0,1.4,28,67.0,25.2,2,179.4280476190476
2024,6.174,81,97.4811224489796,29.1,1013.1,0,1.4,28,67.0,25.2,5,192.25435
2024,6.174,14,97.56173469387751,29.1,1013.1,0,1.4,28,67.0,25.2,4,242.75143750000004
2024,6.174,63,97.60714285714288,29.1,1013.1,0,1.4,28,67.0,25.2,7,183.60784999999996
2024,6.174,38,97.61899999999999,29.1,1013.1,0,1.4,28,67.0,25.2,11,165.61568749999998
2024,6.174,4,97.73581632653062,29.1,1013.1,0,1.4,28,67.0,25.2,6,190.84099999999998
2024,6.174,44,97.75028571428574,29.1,1013.1,0,1.4,28,67.0,25.2,8,171.03400000000002
2024,6.174,27,98.29634693877553,29.1,1013.1,0,1.4,28,67.0,25.2,15,185.14137499999998
2024,6.174,23,98.53063265306125,29.1,1013.1,0,1.4,28,67.0,25.2,12,187.06921428571428
2024,6.174,20,98.48675510204083,29.1,1013.1,0,1.4,28,67.0,25.2,13,179.85860000000002
2024,6.174,31,98.81012499999997,29.1,1013.1,0,1.4,28,67.0,25.2,17,119.33155555555557
2024,6.174,22,98.8807291666667,29.1,1013.1,0,1.4,28,67.0,25.2,9,210.9900625
2024,6.174,2,98.84579166666664,29.1,1013.1,0,1.4,28,67.0,25.2,19,126.848125
2024,6.174,3,99.1595625,29.1,1013.1,0,1.4,28,67.0,25.2,14,211.5640909090909
2024,6.174,77,99.19856250000004,29.1,1013.1,0,1.4,28,67.0,25.2,16,124.20612499999999
2024,6.174,24,99.31260416666667,29.1,1013.1,0,1.4,28,67.0,25.2,20,121.101
2024,6.174,18,95.79475000000001,29.1,1013.1,0,1.4,28,67.0,25.2,10,215.47094444444446
2024,5.303,55,83.13101754385963,36.9,1019.8,0,0.5,164,44.0,21.5,2,201.99229411764708
2024,5.303,16,83.13489473684213,36.9,1019.8,0,0.5,164,44.0,21.5,5,177.98805263157897
2024,5.303,4,83.20987719298243,36.9,1019.8,0,0.5,164,44.0,21.5,4,190.6015
2024,5.303,81,83.71187719298244,36.9,1019.8,0,0.5,164,44.0,21.5,6,200.23005882352945
2024,5.303,11,84.04778947368419,36.9,1019.8,0,0.5,164,44.0,21.5,3,166.49304761904764
2024,5.303,14,84.44442105263161,36.9,1019.8,0,0.5,164,44.0,21.5,10,175.70740000000004
2024,5.303,18,84.68824561403511,36.9,1019.8,0,0.5,164,44.0,21.5,9,160.51281818181818
2024,5.303,22,84.72173684210529,36.9,1019.8,0,0.5,164,44.0,21.5,8,194.25176470588235
2024,5.303,27,84.81536842105264,36.9,1019.8,0,0.5,164,44.0,21.5,16,152.85716666666667
2024,5.303,20,84.56173214285718,36.9,1019.8,0,0.5,164,44.0,21.5,14,194.8696666666667
2024,5.303,23,84.57321428571431,36.9,1019.8,0,0.5,164,44.0,21.5,12,157.0643846153846
2024,5.303,3,84.6554642857143,36.9,1019.8,0,0.5,164,44.0,21.5,18,145.4374
2024,5.303,10,85.09807142857142,36.9,1019.8,0,0.5,164,44.0,21.5,17,108.64588888888889
2024,5.303,77,85.25724999999998,36.9,1019.8,0,0.5,164,44.0,21.5,13,165.7855
2024,5.303,24,85.22223214285714,36.9,1019.8,0,0.5,164,44.0,21.5,19,126.11012499999998
2024,5.303,31,85.43819642857143,36.9,1019.8,0,0.5,164,44.0,21.5,15,120.12536842105264
2024,5.303,63,83.50589090909091,36.9,1019.8,0,0.5,164,44.0,21.5,7,149.44336363636364
2024,5.303,44,84.62414285714287,36.9,1019.8,0,0.5,164,44.0,21.5,11,144.37885714285713
2024,5.303,1,83.607,36.9,1019.8,0,0.5,164,44.0,21.5,1,174.75065
2024,5.807,1,129.47751923076922,31.8,1012.9,0,2.7,181,56.0,19.5,1,302.60118181818183
2024,5.807,11,129.6795,31.8,1012.9,0,2.7,181,56.0,19.5,2,303.39336363636363
2024,5.807,55,129.7465192307693,31.8,1012.9,0,2.7,181,56.0,19.5,4,302.5674545454545
2024,5.807,16,129.52971153846153,31.8,1012.9,0,2.7,181,56.0,19.5,8,285.40981818181814
2024,5.807,4,129.97144230769234,31.8,1012.9,0,2.7,181,56.0,19.5,3,268.86083333333335
2024,5.807,14,130.1406153846154,31.8,1012.9,0,2.7,181,56.0,19.5,5,301.42072727272733
2024,5.807,63,129.80634615384614,31.8,1012.9,0,2.7,181,56.0,19.5,9,241.78135714285713
2024,5.807,81,130.1295192307692,31.8,1012.9,0,2.7,181,56.0,19.5,6,304.2817272727272
2024,5.807,44,129.98992307692308,31.8,1012.9,0,2.7,181,56.0,19.5,7,241.31464285714284
2024,5.807,22,131.32552941176468,31.8,1012.9,0,2.7,181,56.0,19.5,10,190.64264705882348
2024,5.807,27,131.5270784313726,31.8,1012.9,0,2.7,181,56.0,19.5,12,184.95154545454545
2024,5.807,18,131.27850980392154,31.8,1012.9,0,2.7,181,56.0,19.5,16,153.5428
2024,5.807,20,131.30025490196087,31.8,1012.9,0,2.7,181,56.0,19.5,18,135.7055
2024,5.807,77,131.7200588235294,31.8,1012.9,0,2.7,181,56.0,19.5,13,186.9527272727273
2024,5.807,31,132.05001960784318,31.8,1012.9,0,2.7,181,56.0,19.5,15,188.40309090909093
2024,5.807,10,132.26292156862746,31.8,1012.9,0,2.7,181,56.0,19.5,17,144.1416
2024,5.807,2,132.31127450980398,31.8,1012.9,0,2.7,181,56.0,19.5,19,137.19559999999998
2024,5.807,24,252.17309090909094,31.8,1012.9,0,2.7,181,56.0,19.5,20,150.2816
2024,5.451,1,108.20047272727273,26.8,1011.6,0,1.2,153,69.0,18.0,1,257.957
2024,5.451,4,108.39641818181818,26.8,1011.6,0,1.2,153,69.0,18.0,4,342.30458333333337
2024,5.451,11,108.50443636363634,26.8,1011.6,0,1.2,153,69.0,18.0,2,248.8173125
2024,5.451,16,108.53980000000003,26.8,1011.6,0,1.2,153,69.0,18.0,6,237.21152941176473
2024,5.451,55,108.71618181818184,26.8,1011.6,0,1.2,153,69.0,18.0,7,273.62056249999995
2024,5.451,63,108.82785454545453,26.8,1011.6,0,1.2,153,69.0,18.0,8,241.86994117647058
2024,5.451,14,108.95990909090911,26.8,1011.6,0,1.2,153,69.0,18.0,3,322.13046153846153
2024,5.451,81,109.15692727272727,26.8,1011.6,0,1.2,153,69.0,18.0,5,312.7897692307692
2024,5.451,44,109.07341818181817,26.8,1011.6,0,1.2,153,69.0,18.0,18,168.5886
2024,5.451,27,109.19979999999995,26.8,1011.6,0,1.2,153,69.0,18.0,9,214.19654999999997
2024,5.451,31,109.20852727272725,26.8,1011.6,0,1.2,153,69.0,18.0,13,238.1569230769231
2024,5.451,23,109.24901818181816,26.8,1011.6,0,1.2,153,69.0,18.0,14,259.27175
2024,5.451,10,109.30672727272727,26.8,1011.6,0,1.2,153,69.0,18.0,15,236.6036923076923
2024,5.451,24,109.33767272727269,26.8,1011.6,0,1.2,153,69.0,18.0,16,143.64357142857145
