year,lap_length,position,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature,average_speed,session_encoded,weather_score,is_top_driver
2024,5.421,5,63,97.36253571428573,21.9,1017.4,0,0.0,167,51.0,17.7,0.055678500567283316,6,14.7,0
2024,5.421,6,4,97.33985714285711,21.9,1017.4,0,0.0,167,51.0,17.7,0.0556914727339704,6,14.7,0
2024,5.421,7,44,97.35614285714288,21.9,1017.4,0,0.0,167,51.0,17.7,0.05568215667659094,6,14.7,0
2024,5.421,8,81,97.46966071428577,21.9,1017.4,0,0.0,167,51.0,17.7,0.05561730655748004,6,14.7,0
2024,5.421,9,14,97.82053571428573,21.9,1017.4,0,0.0,167,51.0,17.7,0.055417811407552094,6,14.7,0
2024,5.421,10,18,97.9954285714286,21.9,1017.4,0,0.0,167,51.0,17.7,0.055318907004408356,6,14.7,0
2024,5.421,11,24,98.30363636363636,21.9,1017.4,0,0.0,167,51.0,17.7,0.055145467660495315,6,14.7,1
2024,5.421,12,20,98.34016363636366,21.9,1017.4,0,0.0,167,51.0,17.7,0.05512498453882432,6,14.7,1
2024,5.421,13,3,98.32785454545454,21.9,1017.4,0,0.0,167,51.0,17.7,0.05513188531428809,6,14.7,1
2024,5.421,14,22,98.37707272727272,21.9,1017.4,0,0.0,167,51.0,17.7,0.05510430275790424,6,14.7,0
2024,5.421,15,23,98.41345454545454,21.9,1017.4,0,0.0,167,51.0,17.7,0.05508393161319406,6,14.7,1
2024,5.421,16,27,98.3421636363636,21.9,1017.4,0,0.0,167,51.0,17.7,0.05512386345337127,6,14.7,0
2024,5.421,17,31,98.71881818181824,21.9,1017.4,0,0.0,167,51.0,17.7,0.0549135423199224,6,14.7,1
2024,5.421,18,10,98.72580000000002,21.9,1017.4,0,0.0,167,51.0,17.7,0.0549096588733644,6,14.7,0
2024,5.421,19,77,99.62610909090908,21.9,1017.4,0,0.0,167,51.0,17.7,0.05441344693139952,6,14.7,1
2024,5.421,20,2,100.36325925925928,21.9,1017.4,0,0.0,167,51.0,17.7,0.054013789906886385,6,14.7,1
2024,6.174,1,14,148.20221739130434,29.2,1014.0,0,2.3,359,58.0,25.2,0.041659295715519136,0,13.75,0
2024,6.174,2,63,169.07027272727274,29.2,1014.0,0,2.3,359,58.0,25.2,0.03651735991435514,0,13.75,0
2024,6.174,3,1,159.43139130434784,29.2,1014.0,0,2.3,359,58.0,25.2,0.03872512150517518,0,13.75,0
2024,6.174,4,16,162.98895652173917,29.2,1014.0,0,2.3,359,58.0,25.2,0.037879867027534,0,13.75,0
2024,6.174,5,11,170.6702272727273,29.2,1014.0,0,2.3,359,58.0,25.2,0.03617502653309346,0,13.75,1
2024,6.174,6,18,220.20870588235292,29.2,1014.0,0,2.3,359,58.0,25.2,0.02803703865958177,0,13.75,0
2024,6.174,7,55,165.9854347826087,29.2,1014.0,0,2.3,359,58.0,25.2,0.03719603474898924,0,13.75,0
2024,6.174,8,44,186.91100000000003,29.2,1014.0,0,2.3,359,58.0,25.2,0.03303176378062286,0,13.75,0
2024,6.174,9,10,159.33754166666668,29.2,1014.0,0,2.3,359,58.0,25.2,0.03874793055936546,0,13.75,0
2024,6.174,9,22,154.040625,29.2,1014.0,0,2.3,359,58.0,25.2,0.040080335950337775,0,13.75,0
