session_type,year,lap_length,position,driver_name,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature
Qualifying,2025,5.451,10,Lance STROLL,18,222.83763636363636,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,11,Fernando ALONSO,14,227.35728571428572,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,12,Oliver BEARMAN,87,212.24425000000002,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,13,Carlos SAINZ,55,183.98677777777777,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,14,Gabriel BORTOLETO,5,161.21400000000006,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,15,Isack HADJAR,6,226.0914285714286,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,16,Jack DOOHAN,7,111.1496,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,17,Pierre GASLY,10,112.9366,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,18,Esteban OCON,31,143.6906,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,19,Nico HULKENBERG,27,122.46880000000002,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,20,Liam LAWSON,30,119.89875,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,1,Lewis HAMILTON,44,96.50616666666667,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,2,Max VERSTAPPEN,1,96.59891666666668,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,3,Oscar PIASTRI,81,96.51875,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,4,George RUSSELL,63,96.80416666666666,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,5,Charles LECLERC,16,97.07975,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,6,Yuki TSUNODA,22,97.25599999999999,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,7,Kimi ANTONELLI,12,97.28049999999998,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,8,Lance STROLL,18,97.30041666666666,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,9,Lando NORRIS,4,97.43316666666665,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,10,Fernando ALONSO,14,98.0676923076923,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,11,Alexander ALBON,23,98.12830769230769,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,13,Pierre GASLY,10,98.41292307692308,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,14,Isack HADJAR,6,98.33630769230771,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,14,Liam LAWSON,30,98.39984615384614,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,15,Oliver BEARMAN,87,98.37223076923077,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,16,Esteban OCON,31,98.66584615384616,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,17,Carlos SAINZ,55,99.99592307692309,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,18,Gabriel BORTOLETO,5,99.32123076923077,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,19,Nico HULKENBERG,27,99.139,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,20,Jack DOOHAN,7,99.66807692307694,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,1,Oscar PIASTRI,81,183.56089473684207,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,2,George RUSSELL,63,165.28523809523807,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,3,Lando NORRIS,4,211.4254375,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,4,Max VERSTAPPEN,1,235.87550000000002,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,5,Lewis HAMILTON,44,176.81115789473682,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,6,Charles LECLERC,16,179.08478947368417,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,7,Isack HADJAR,6,189.97838888888887,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,8,Kimi ANTONELLI,12,161.47228571428573,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,9,Yuki TSUNODA,22,194.98627777777781,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,10,Alexander ALBON,23,180.06310526315787,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,11,Esteban OCON,31,165.79942857142854,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,12,Nico HULKENBERG,27,166.19628571428572,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,13,Fernando ALONSO,14,172.70299999999997,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,14,Lance STROLL,18,173.05214285714285,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,15,Carlos SAINZ,55,172.0292857142857,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,16,Pierre GASLY,10,137.575375,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,17,Oliver BEARMAN,87,150.77771428571432,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,18,Jack DOOHAN,7,157.29099999999997,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,19,Gabriel BORTOLETO,5,138.070875,36.1,1014.9,0,2.6,252,14.0,26.0
Qualifying,2025,5.451,20,Liam LAWSON,30,154.18985714285716,36.1,1014.9,0,2.6,252,14.0,26.0
Race,2025,5.451,1,Oscar PIASTRI,81,97.39421818181818,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,2,Lando NORRIS,4,97.55465454545451,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,3,George RUSSELL,63,97.56074545454545,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,4,Max VERSTAPPEN,1,97.62605454545451,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,5,Charles LECLERC,16,97.75407272727273,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,6,Lewis HAMILTON,44,97.81118181818184,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,7,Esteban OCON,31,98.18480000000002,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,8,Kimi ANTONELLI,12,98.28665454545452,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,9,Alexander ALBON,23,98.29225454545453,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,10,Oliver BEARMAN,87,98.33894545454545,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,11,Pierre GASLY,10,98.47601818181822,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,12,Lance STROLL,18,98.5197090909091,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,13,Carlos SAINZ,55,98.6200181818182,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,14,Isack HADJAR,6,98.72190909090905,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,15,Liam LAWSON,30,98.67718181818182,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,16,Jack DOOHAN,7,98.64587272727267,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,17,Gabriel BORTOLETO,5,98.92824074074075,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,18,Nico HULKENBERG,27,99.35846296296296,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,19,Yuki TSUNODA,22,99.53483333333335,30.5,1010.1,0,2.1,238,22.0,26.4
Race,2025,5.451,20,Fernando ALONSO,14,113.271,30.5,1010.1,0,2.1,238,22.0,26.4
Practice 1,2025,5.807,1,Lando NORRIS,4,156.9481739130435,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,2,George RUSSELL,63,132.37835714285714,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,3,Charles LECLERC,16,148.3982307692308,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,4,Lewis HAMILTON,44,158.23337500000002,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,5,Max VERSTAPPEN,1,169.98690909090908,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,6,Yuki TSUNODA,22,157.21183333333332,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,7,Fernando ALONSO,14,153.23387499999998,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,8,Isack HADJAR,6,139.67722222222224,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,9,Kimi ANTONELLI,12,136.8520370370371,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,10,Carlos SAINZ,55,140.09766666666667,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,11,Alexander ALBON,23,154.26083333333335,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,12,Ryo HIRAKAWA,62,160.4245652173913,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,13,Liam LAWSON,30,141.8434814814815,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,14,Pierre GASLY,10,159.4131363636364,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,15,Oscar PIASTRI,81,158.34116666666668,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,16,Lance STROLL,18,152.484,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,17,Nico HULKENBERG,27,187.92220000000003,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,18,Oliver BEARMAN,87,237.552875,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,19,Esteban OCON,31,184.03834999999998,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 1,2025,5.807,20,Gabriel BORTOLETO,5,147.45344,36.7,1011.3,0,5.2,285,41.0,14.0
Practice 2,2025,5.807,1,Oscar PIASTRI,81,412.981375,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,2,Lando NORRIS,4,451.17471428571434,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,3,Isack HADJAR,6,475.958,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,4,Lewis HAMILTON,44,375.05933333333337,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,5,Liam LAWSON,30,424.7986250000001,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,6,George RUSSELL,63,412.99887500000006,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,7,Charles LECLERC,16,374.3947777777778,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,8,Max VERSTAPPEN,1,774.84525,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,9,Pierre GASLY,10,427.36724999999996,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,10,Carlos SAINZ,55,664.4376,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,11,Alexander ALBON,23,572.0398333333334,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,12,Nico HULKENBERG,27,481.324,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,13,Gabriel BORTOLETO,5,426.53324999999995,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,14,Esteban OCON,31,417.8572500000001,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,15,Oliver BEARMAN,87,672.8268,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,16,Kimi ANTONELLI,12,416.453875,37.9,1015.3,0,3.1,164,40.0,13.9
Practice 2,2025,5.807,17,Fernando ALONSO,14,888.2845,37.9,1015.3,0,3.1,164,40.0,13.9
