session_type,year,lap_length,position,driver_name,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature
Practice 1,2025,5.303,1,Charles LECLERC,16,182.9155,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,2,Oscar PIASTRI,81,194.06173684210523,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,3,Lando NORRIS,4,191.72473684210524,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,4,Yuki TSUNODA,22,171.52445454545455,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,5,Lewis HAMILTON,44,195.65589473684207,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,6,Isack HADJAR,6,159.626125,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,7,Max VERSTAPPEN,1,185.2453,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,8,Nico HULKENBERG,27,227.20487500000002,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,9,Lance STROLL,18,199.29836842105263,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,10,George RUSSELL,63,148.73311999999999,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,11,Carlos SAINZ,55,151.16516666666666,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,12,Alexander ALBON,23,198.03370588235296,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,13,Fernando ALONSO,14,166.91404545454546,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,14,Jack DOOHAN,7,196.93789473684208,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,15,Pierre GASLY,10,172.86436363636363,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,16,Kimi ANTONELLI,12,155.2949583333333,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,17,Liam LAWSON,30,175.40266666666668,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,18,Gabriel BORTOLETO,5,181.97266666666667,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,19,Esteban OCON,31,238.8546,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 1,2025,5.303,20,Oliver BEARMAN,87,191.238,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,1,Charles LECLERC,16,120.76003225806451,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,2,Oscar PIASTRI,81,129.60575862068973,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,3,Lando NORRIS,4,127.75506896551724,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,4,Yuki TSUNODA,22,135.92828571428575,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,5,Lewis HAMILTON,44,124.45253333333332,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,6,Isack HADJAR,6,128.63606896551727,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,7,Max VERSTAPPEN,1,179.27538095238094,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,8,Nico HULKENBERG,27,158.86352173913042,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,9,Lance STROLL,18,138.54255555555554,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,10,George RUSSELL,63,128.982,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,11,Carlos SAINZ,55,124.13793103448278,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,12,Alexander ALBON,23,131.59314814814817,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,13,Fernando ALONSO,14,142.64938461538466,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,14,Jack DOOHAN,7,127.94506896551727,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,15,Pierre GASLY,10,127.70172413793101,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,16,Kimi ANTONELLI,12,124.13623333333331,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,17,Liam LAWSON,30,129.79096551724137,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,18,Gabriel BORTOLETO,5,135.50496428571427,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 2,2025,5.303,19,Esteban OCON,31,120.85526666666668,37.7,1016.8,0,1.3,109,67.0,22.9
Practice 3,2025,5.303,1,Oscar PIASTRI,81,249.50199999999998,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,2,George RUSSELL,63,155.60456250000001,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,3,Max VERSTAPPEN,1,164.58423529411763,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,4,Charles LECLERC,16,180.69285714285715,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,5,Kimi ANTONELLI,12,146.0073157894737,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,6,Carlos SAINZ,55,129.30722727272726,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,7,Alexander ALBON,23,127.99799999999998,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,8,Lewis HAMILTON,44,185.72330000000002,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,9,Yuki TSUNODA,22,232.72331250000002,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,10,Lando NORRIS,4,197.0133684210527,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,11,Gabriel BORTOLETO,5,161.60805882352938,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,12,Pierre GASLY,10,123.63657142857143,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,13,Isack HADJAR,6,223.65858823529413,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,14,Lance STROLL,18,148.69161904761907,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,15,Jack DOOHAN,7,186.25570588235294,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,16,Nico HULKENBERG,27,171.6872857142857,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,17,Fernando ALONSO,14,148.34314285714285,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,18,Esteban OCON,31,188.39376470588238,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,19,Oliver BEARMAN,87,0.0,40.4,1012.7,0,0.7,0,51.0,28.6
Practice 3,2025,5.303,20,Liam LAWSON,30,106.861,40.4,1012.7,0,0.7,0,51.0,28.6
Qualifying,2025,5.303,1,Lando NORRIS,4,178.92863157894735,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,2,Oscar PIASTRI,81,196.70194117647057,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,3,Max VERSTAPPEN,1,207.56293749999998,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,4,George RUSSELL,63,181.30773684210524,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,5,Yuki TSUNODA,22,191.93723529411767,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,6,Alexander ALBON,23,177.12415000000001,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,7,Charles LECLERC,16,178.95073684210524,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,8,Lewis HAMILTON,44,158.29118181818185,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,9,Pierre GASLY,10,174.08874999999998,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,10,Carlos SAINZ,55,178.97470000000004,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,11,Isack HADJAR,6,185.92527272727273,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,12,Fernando ALONSO,14,200.84058333333334,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,13,Lance STROLL,18,162.78278571428572,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,14,Jack DOOHAN,7,169.81771428571432,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,15,Gabriel BORTOLETO,5,186.85283333333334,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,16,Kimi ANTONELLI,12,116.13924999999999,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,17,Nico HULKENBERG,27,137.185,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,18,Liam LAWSON,30,142.119,40.7,1008.9,0,0.7,161,36.0,31.4
Qualifying,2025,5.303,19,Esteban OCON,31,140.53285714285715,40.7,1008.9,0,0.7,161,36.0,31.4
Race,2025,5.303,1,Lando NORRIS,4,104.46319230769232,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,2,Max VERSTAPPEN,1,104.73774999999998,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,3,George RUSSELL,63,104.79438461538462,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,4,Alexander ALBON,23,104.404137254902,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,5,Kimi ANTONELLI,12,104.63049999999998,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,6,Lance STROLL,18,104.78234615384615,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,7,Nico HULKENBERG,27,104.77163461538458,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,8,Charles LECLERC,16,105.08378846153852,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,9,Oscar PIASTRI,81,105.13503846153846,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,10,Lewis HAMILTON,44,105.00740384615382,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,11,Pierre GASLY,10,105.01899999999998,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,12,Yuki TSUNODA,22,105.25442307692312,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,12,Liam LAWSON,30,103.53238095238096,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,13,Esteban OCON,31,104.86084615384615,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,15,Oliver BEARMAN,87,105.10417307692306,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,16,Gabriel BORTOLETO,5,0.0,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,17,Fernando ALONSO,14,0.0,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,18,Carlos SAINZ,55,0.0,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,19,Isack HADJAR,6,0.0,18.7,1010.4,0,2.8,215,71.0,16.2
Race,2025,5.303,20,Jack DOOHAN,7,0.0,18.7,1010.4,0,2.8,215,71.0,16.2
Practice 1,2025,5.451,1,Lando NORRIS,4,167.44722727272728,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,2,Charles LECLERC,16,186.0163,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,3,Oscar PIASTRI,81,170.22113636363633,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,4,Lewis HAMILTON,44,182.83085714285713,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,5,George RUSSELL,63,148.52576000000002,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,6,Nico HULKENBERG,27,185.99219999999997,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,7,Alexander ALBON,23,163.60647826086958,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,8,Fernando ALONSO,14,169.9401428571429,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,9,Kimi ANTONELLI,12,144.38539999999998,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,10,Yuki TSUNODA,22,172.56581818181817,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,11,Oliver BEARMAN,87,173.26586363636363,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,12,Lance STROLL,18,191.30777777777777,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,13,Esteban OCON,31,173.84681818181818,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,14,Pierre GASLY,10,172.91590909090908,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,15,Carlos SAINZ,55,152.55919999999998,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,16,Max VERSTAPPEN,1,161.60995652173918,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,17,Isack HADJAR,6,173.55095454545454,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,18,Liam LAWSON,30,167.13659090909093,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,19,Gabriel BORTOLETO,5,162.65756521739132,39.1,1019.8,0,3.6,239,18.0,23.3
Practice 1,2025,5.451,20,Jack DOOHAN,7,169.18253333333334,39.1,1019.8,0,3.6,239,18.0,23.3
Qualifying,2025,5.451,1,Lewis HAMILTON,44,178.62214285714285,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,2,Max VERSTAPPEN,1,240.47836363636364,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,3,Oscar PIASTRI,81,204.41241666666667,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,4,Charles LECLERC,16,177.81342857142857,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,5,George RUSSELL,63,141.84294117647056,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,6,Lando NORRIS,4,195.59558333333334,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,7,Kimi ANTONELLI,12,150.811625,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,8,Yuki TSUNODA,22,244.86727272727273,34.6,1017.9,0,1.5,242,13.0,24.6
Qualifying,2025,5.451,9,Alexander ALBON,23,196.5200769230769,34.6,1017.9,0,1.5,242,13.0,24.6
